time,backoff_time
1838418476,232
1843731590,52
1845059581,79
1847606472,178
1848196602,151
1850399851,214
1850753693,61
1852249192,115
1852767428,232
1853955036,250
1856156094,250
1863420113,70
1864498100,70
1864643361,277
1866188613,97
1875549470,178
1876868589,142
1882647830,232
1883090530,268
1884389023,286
1887832329,223
1889383100,286
1889754812,295
1891507600,79
1895063559,97
1896522434,205
1899057476,151
1901155746,70
1902200093,115
1911960926,124
1921127428,97
1921500372,196
1922402825,277
1925428774,196
1929428446,160
1933180932,151
1940995965,241
1942917110,187
1943382014,151
1944765975,133
1946173583,43
1946191594,97
1947048556,259
1956732939,70
1960413001,205
1961597052,322
1962181718,196
1962947364,187
1963516828,142
1963656101,313
1963673406,205
1965804578,133
1967489463,277
1972495232,304
1974956569,295
1977871501,268
1978069562,70
1980250600,241
1982105028,88
1983215970,286
1988381042,178
1995008572,322
1995647681,61
1999690068,232
2000229620,214
2000650041,223
2002216796,70
2005632114,124
2006125946,142
2010974573,196
2017453604,142
2017652059,214
2020401616,187
2022044463,295
2022641111,322
2024473556,322
2027370722,61
2029874011,106
2032639466,178
2040914947,97
2041054562,106
2041943608,205
2044597544,79
2044894866,160
2049623723,295
2056912467,142
2060871355,205
2064010586,187
2064411529,160
2067879478,70
2071924555,97
2073959955,205
2081117014,295
2082178029,232
2086861012,61
2087528094,313
2088226106,142
2092507539,79
2094445119,115
2094722220,250
2096463565,241
2100407050,133
2100941948,115
2104529608,187
2108159006,142
2110786034,70
2110861899,160
2112418071,169
2113279071,286
2120777025,178
2123516120,223
2123812294,79
2125337600,322
2126269586,304
2129469875,232
2129993082,178
2130278521,61
2130382844,295
2133546587,223
2135336584,151
2135888989,151
2136493563,70
2137863469,97
2140805546,196
2143568915,178
2146685535,97
2150609932,52
2151864116,43
2153558456,286
2153702967,160
2161160568,52
2164010847,79
2165522307,160
2166112984,43
2167158906,169
2169799992,52
2171001593,241
2171487055,178
2171969235,196
2172785798,151
2175903382,43
2176124963,106
2183225774,214
2184935589,187
2184953607,178
2185569002,250
2187626092,178
2187870556,151
2189455109,286
2190920618,133
2194364074,160
2194440349,196
2196077524,250
2198325573,88
2199396092,205
2203125061,277
2204302586,250
2204715110,259
2205307580,304
2209887530,43
2212082057,115
2212571108,304
2213756420,277
2217796184,97
2221111587,259
2221717114,79
2224193217,115
2225018540,106
2236852533,133
2237947118,52
2239814120,169
2245047765,205
2245759563,304
2250060582,79
2251964840,196
2257838786,151
2259749939,124
2266078615,277
2275033572,52
2276302114,232
2280698119,214
2281589629,97
2282409218,214
2282880322,160
2282932459,241
2285071032,124
2287440052,268
2288133386,187
2292665050,214
2294104935,232
2296269390,115
2296327065,277
2302730333,232
2303727107,61
2304104177,223
2310955286,259
2315339501,322
2316953895,313
2319171550,205
2320403760,106
2328244509,277
2329864595,52
2332688120,79
2333967050,142
2337097267,313
2339745956,133
2343593877,79
2344969067,223
2347745540,106
2348280618,97
2349819327,43
2355127822,295
2356690023,205
2356794077,97
2359000074,52
2364552229,277
2368070025,124
2369123479,196
2369860549,286
2374700319,52
2375206795,97
2376270430,133
2379447581,196
2380184620,205
2389742584,214
2397964837,205
2399272618,223
2400574910,61
2404598530,259
2405400899,151
2411493016,106
2412299971,169
2413001930,169
2413025199,232
2414751030,61
2417134593,268
2417193565,133
2418956914,79
2422113091,160
2428836114,232
2433178091,259
2437352816,178
2438776931,268
2446664069,295
2447359494,277
2451808333,151
2453275395,259
2456835945,250
2456935606,169
2464036404,142
2465790491,241
2468588890,259
2469167330,43
2478184047,214
2478510056,160
2480732520,169
2483561619,286
2484917926,295
2486217342,241
2488667078,205
2499068218,196
2504577296,79
2505183193,97
2505672100,151
2507919077,106
2509008572,79
2511619974,205
2514802544,133
2516345014,43
2517976113,178
2522659056,142
2528597938,214
2531996949,268
2532475400,106
2538646514,250
2538768442,259
2542468402,79
2543176393,214
2544717427,250
2544811204,133
2546125378,313
2548148300,124
2554955936,151
2559459077,169
2560769033,286
2563694409,79
2568411817,268
2568986969,70
2571221040,160
2574459332,241
2575725000,259
2576591329,124
2576992107,205
2578638602,169
2580874098,286
2581552105,277
2582909077,115
2584902574,196
2597383558,142
2601256840,214
2601362116,214
2601584459,142
2602573408,196
2605599106,313
2606561019,88
2607981578,52
2612860615,133
2617741057,88
2621873101,178
2622342968,196
2622536587,142
2625474101,61
2629481612,151
2630703517,133
2630929853,304
2633390367,61
2633957049,196
2639780578,133
2641095567,268
2641131062,142
2641160257,205
2652197538,259
2653758520,97
2654879376,286
2657482234,88
2659722819,187
2660236831,52
2661007954,88
2664383941,133
2665136085,277
2666651426,52
2674762839,205
2674907056,322
2675075530,151
2675104624,70
2676673862,277
2677175576,223
2678663587,322
2681396959,133
2682289736,241
2685135112,250
2686584702,88
2687036567,115
2687089589,277
2687282082,115
2690206108,52
2692954283,142
2695736527,196
2697855021,304
2700605433,223
2702456460,160
2703690955,79
2706512553,97
2707085008,61
2707397089,97
2715730796,160
2721074618,232
2722015054,115
2726108612,241
2728434924,61
2733404958,97
2734264117,250
2745486472,196
2748673981,214
2750298253,88
2750885366,88
2751753613,286
2752387920,142
2752986062,277
2754475614,169
2755850117,196
2763551619,142
2764455785,124
2769674593,322
2772772029,268
2779960726,133
2782890337,79
2782995781,151
2783123027,232
2792979782,115
2794361034,160
2796395610,214
2796825433,214
2800310074,295
2806364874,241
2808020020,61
2808558513,88
2813071085,205
2815976820,115
2816988102,88
2819909792,142
2822829514,97
2826592421,205
2827473373,322
2828786106,52
2832153921,115
2838166384,70
2839420590,304
2840932100,169
2842444570,160
2846647441,322
2847032565,295
2859681375,169
2859926002,196
2868439388,151
2870595749,277
2872264067,241
2872823798,178
2882800486,142
2888339576,169
2888891520,232
2890182110,286
2894418885,304
2894665620,43
2901669922,277
2902454040,304
2902651617,250
2906032451,286
2906681562,169
2922157898,223
2924139831,223
2933529764,106
2935789616,268
2936003462,196
2937081866,187
2937679970,178
2941656542,259
2944010019,223
2944668594,286
2951858332,205
2952115888,151
2955141942,214
2957593019,142
2959396118,97
2966981212,97
2973688022,169
2974956093,115
2976694896,214
2977463035,259
2980492766,142
2980835509,241
2982140577,178
2987443520,151
2987460915,223
2991203106,61
2991912617,304
2994330114,250
2995212946,196
3000114587,160
3004458056,79
3005769717,250
3005775967,250
3006119387,70
3006212616,43
3008763525,223
3010448331,79
3018148424,214
3018671902,88
3023133373,187
3023312944,322
3024539364,61
3028463339,187
3031983118,250
3033336982,286
3035511087,70
3036256944,88
3036309599,250
3036578046,313
3037772909,79
3039775336,187
3042922931,259
3052137597,79
3057731610,106
3059232407,304
3064422421,277
3069549607,286
3070461765,178
3074431708,286
3074997023,223
3076288120,43
3077446777,151
3079722008,52
3080488415,106
3080511922,223
3083569103,187
3088764972,214
3090067686,97
3094763402,187
3096027478,160
3102725269,214
3104804588,151
3105579889,304
3105696840,43
3108154904,160
3111587083,115
3115402606,124
3115420466,133
3117071520,250
3119267070,142
3120832054,178
3127544024,133
3128322417,124
3129200513,124
3131626847,169
3149592474,304
