time,gap_time
13782174620,106
13788032120,277
13797550120,295
13841134620,70
13843320620,268
13843491120,196
13870459120,106
13878800120,322
13880983620,295
13882935620,223
13883620620,52
13886163620,331
13902249620,277
13907747620,241
13946680120,115
13983666620,241
13985777620,313
14005139120,259
14022049120,295
14031645620,178
14031817120,178
14041122620,268
14042122620,322
14043657120,133
14059942620,142
14067735120,61
14070283620,250
14083982120,286
14087744120,178
14094466620,133
14096486120,61
14105760620,79
14125045120,151
14147431620,214
14157395120,43
14164062620,97
14194816620,160
14214727620,142
14227474120,250
14241785620,88
14241893120,43
14254023620,88
14257163620,70
14268622620,160
14277814120,52
14278436120,97
14289995620,322
14320086120,88
14321110620,277
14323925120,304
14327906120,187
14347795620,313
14349349620,151
14370719120,205
14381791620,61
14387603620,61
14398917620,331
14405356620,97
14412992120,268
14430582120,97
14432945120,304
14489135620,43
14492057620,115
14499338620,88
14507271620,214
14527142620,187
14527425620,241
14530853120,70
14539883620,97
14563951620,169
14583591620,304
14587598620,106
14600600620,187
14617148620,169
14625682120,133
14631865120,88
14653965120,79
14677979620,52
14691347120,259
14707936620,106
14744362620,133
14756248120,88
14774741620,70
14776598120,187
14786963620,277
14812068120,331
14815182620,106
14828174120,133
14829383120,250
14843391120,259
14846026620,331
14856024620,142
14863865620,196
14894299120,133
14896408120,97
14907114620,88
14940732620,187
14955263620,295
14968435620,106
15001582120,151
15017983120,313
15024977120,115
15033160620,322
15039206620,142
15048634620,151
15077400620,88
15091984120,70
15092668620,277
15097383120,205
15103819620,259
15106402620,142
15116918120,313
15143306620,196
15147336120,124
15147681120,61
15155929120,142
15157816620,259
15159648620,304
15203280120,331
15222547120,151
15235498120,151
15242352620,295
15269286120,124
15269807620,52
15291559120,304
15321721620,313
15329108120,286
15345146620,277
15359166120,142
15374386620,160
15377266620,43
15411788120,106
15435052620,97
15443951620,322
15448510120,196
15483493120,151
15491186620,97
15491413620,196
15501927620,322
15510550620,250
15548761120,124
15578206620,322
15580143120,178
15600546620,97
15607535620,322
15618772120,52
15637101620,160
15651633120,322
15652779620,313
15663439620,214
15667455120,322
15668675620,133
15693697120,169
15719983620,205
15729005620,160
15737521620,43
15754425620,133
15758298120,214
15782132620,232
15819567620,304
15827870120,115
15837580620,115
15840164620,133
15843305620,331
15854088120,160
15882163620,106
15916200120,205
15955599620,52
15976998120,97
